team,season,comp,rank
Huddersfield Town,2017,Premier-League-Stats,16
Southampton,2017,Premier-League-Stats,17
Swansea City,2017,Premier-League-Stats,18
Stoke City,2017,Premier-League-Stats,19
West Bromwich Albion,2017,Premier-League-Stats,20
Wolverhampton Wanderers,2017,Championship-Stats,1
Cardiff City,2017,Championship-Stats,2
Fulham,2017,Championship-Stats,3
Aston Villa,2017,Championship-Stats,4
Middlesbrough,2017,Championship-Stats,5
Derby County,2017,Championship-Stats,6
Preston North End,2017,Championship-Stats,7
Millwall,2017,Championship-Stats,8
Brentford,2017,Championship-Stats,9
Sheffield United,2017,Championship-Stats,10
Bristol City,2017,Championship-Stats,11
Ipswich Town,2017,Championship-Stats,12
Leeds United,2017,Championship-Stats,13
Norwich City,2017,Championship-Stats,14
Sheffield Wednesday,2017,Championship-Stats,15
Queens Park Rangers,2017,Championship-Stats,16
Nottingham Forest,2017,Championship-Stats,17
Hull City,2017,Championship-Stats,18
Birmingham City,2017,Championship-Stats,19
Reading,2017,Championship-Stats,20
Bolton Wanderers,2017,Championship-Stats,21
Barnsley,2017,Championship-Stats,22
Burton Albion,2017,Championship-Stats,23
Sunderland,2017,Championship-Stats,24
Chelsea,2016,Premier-League-Stats,1
Tottenham Hotspur,2016,Premier-League-Stats,2
Manchester City,2016,Premier-League-Stats,3
Liverpool,2016,Premier-League-Stats,4
Arsenal,2016,Premier-League-Stats,5
Manchester United,2016,Premier-League-Stats,6
Everton,2016,Premier-League-Stats,7
Southampton,2016,Premier-League-Stats,8
Bournemouth,2016,Premier-League-Stats,9
West Bromwich Albion,2016,Premier-League-Stats,10
West Ham United,2016,Premier-League-Stats,11
Leicester City,2016,Premier-League-Stats,12
Stoke City,2016,Premier-League-Stats,13
Crystal Palace,2016,Premier-League-Stats,14
Swansea City,2016,Premier-League-Stats,15
Burnley,2016,Premier-League-Stats,16
Watford,2016,Premier-League-Stats,17
Hull City,2016,Premier-League-Stats,18
Middlesbrough,2016,Premier-League-Stats,19
Sunderland,2016,Premier-League-Stats,20
Newcastle United,2016,Championship-Stats,1
Brighton and Hove Albion,2016,Championship-Stats,2
Reading,2016,Championship-Stats,3
Sheffield Wednesday,2016,Championship-Stats,4
Huddersfield Town,2016,Championship-Stats,5
Fulham,2016,Championship-Stats,6
Leeds United,2016,Championship-Stats,7
Norwich City,2016,Championship-Stats,8
Derby County,2016,Championship-Stats,9
Brentford,2016,Championship-Stats,10
Preston North End,2016,Championship-Stats,11
Cardiff City,2016,Championship-Stats,12
Aston Villa,2016,Championship-Stats,13
Barnsley,2016,Championship-Stats,14
Wolverhampton Wanderers,2016,Championship-Stats,15
Ipswich Town,2016,Championship-Stats,16
Bristol City,2016,Championship-Stats,17
Queens Park Rangers,2016,Championship-Stats,18
Birmingham City,2016,Championship-Stats,19
Burton Albion,2016,Championship-Stats,20
Nottingham Forest,2016,Championship-Stats,21
Blackburn Rovers,2016,Championship-Stats,22
Wigan Athletic,2016,Championship-Stats,23
Rotherham United,2016,Championship-Stats,24
